,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
6,appium/appium-android-bootstrap,128566,NPM,appium-android-bootstrap,4,appium,appium-android-bootstrap,12542537,2,1462,34,14,169,2,0,2,0,0,0,1,2
16,pilwon/node-ib,159086,NPM,ib,3,pilwon,node-ib,6160594,1,1929,219,11,180,45,0,0,7,8,2,0,2
17,appium/io.appium.settings,160253,NPM,io.appium.settings,6,appium,io.appium.settings,11069898,2,1577,14,5,29,0,238,118,1,0,7,2,3
19,Nodeclipse/nodeclipse-1,176443,NPM,nodeclipse,1,Nodeclipse,nodeclipse-1,3317243,0,2011,163,6,562,145,0,0,70,0,1,2,4
22,embulk/embulk,198008,Rubygems,embulk,65,embulk,embulk,15598636,1,1484,1124,17,3233,221,0,170,40,0,1,0,2
26,guyboertje/jrjackson,215523,Rubygems,jrjackson,10,guyboertje,jrjackson,637967,2,2772,51,8,177,40,0,134,0,0,0,20,2
27,jruby/jruby-openssl,215580,Rubygems,jruby-openssl,120,jruby,jruby-openssl,10657677,10,3038,23,27,764,82,0,2,0,0,1,1,3
28,jruby/jruby-parser,215584,Rubygems,jruby-parser,7,jruby,jruby-parser,1476415,1,2709,34,8,188,22,0,0,9,12,0,18,12
32,krypt/krypt-core-java,217736,Rubygems,krypt-core,1,krypt,krypt-core-java,767738,1,2220,5,4,55,0,133,0,64,0,0,0,1
47,ruby-concurrency/thread_safe,259551,Rubygems,thread_safe,149,ruby-concurrency,thread_safe,10116428,15,1586,195,4,32,12,1,0,88,2,1,1,2
48,appium/android-apidemos,262163,NPM,android-apidemos,6,appium,android-apidemos,3526036,3,2013,181,5,54,3,0,0,479,228,0,0,3
51,infochimps-labs/wonderdog,268706,Rubygems,wonderdog,1,infochimps-labs,wonderdog,89252,1,2885,76,11,234,5,0,0,1,0,5,2,1
79,mozilla/webmaker-android,330407,NPM,webmaker,1,mozilla,webmaker-android,19822101,0,1534,78,14,418,659,11,14,34,40,0,0,2
86,zaproxy/zaproxy,334063,NPM,zaproxy,3,zaproxy,zaproxy,20839830,1,1224,4382,59,2159,1297,0,2,0,0,1,1,4
8142,advantageous/qbit,1059135,Maven,com.github.advantageous:qbit-core,8,advantageous,qbit,12815739,2,1509,652,14,1603,563,40,328,35,0,0,0,1
94,sbt/junit-interface,335263,Maven,com.novocode:junit-interface,873,sbt,junit-interface,7221966,17,3223,62,8,46,25,1,0,24,0,2,14,3
4275,aerogear/aerogear-android-auth,387930,Maven,org.jboss.aerogear:aerogear-android-authz,1,aerogear,aerogear-android-auth,11257365,0,1533,0,4,83,0,531,166,926,158,0,1,1
6484,aerogear/aerogear-testing-tools,414950,Maven,org.jboss.aerogear.test:spacelift-jboss-manager,1,aerogear,aerogear-testing-tools,8829572,0,1660,5,8,289,2,32,0,80,0,0,1,1
126,sonatype/plexus-classworlds,336461,Maven,org.codehaus.plexus:plexus-classworlds,49,sonatype,plexus-classworlds,2743250,4,2898,17,15,97,1,0,0,11,1,0,4,4
6254,airlift/airship,412495,Maven,io.airlift.airship:airship-shared,4,airlift,airship,517204,2,2269,27,5,253,7,429,312,617,358,0,0,1
7777,aliyun/aliyun-odps-java-sdk,959421,Maven,com.aliyun.odps:odps-sdk-commons,4,aliyun,aliyun-odps-java-sdk,22141617,2,1192,37,4,46,3,2,0,220,0,0,2,3
144,apache/cordova-plugin-inappbrowser,336971,NPM,cordova-plugin-inappbrowser,10,apache,cordova-plugin-inappbrowser,4280544,0,1935,747,89,415,0,0,0,0,0,4,7,3
156,thiagolocatelli/parse4j,337519,Maven,com.github.thiagolocatelli:parse4j,1,thiagolocatelli,parse4j,8107504,1,1695,142,7,146,19,0,0,0,0,2,0,2
7302,allure-framework/allure1,425066,Maven,ru.yandex.qatools.allure:allure-core,2,allure-framework,allure1,53086793,1,1781,178,15,93,107,0,4,0,0,1,0,1
171,nuun-io/kernel,337686,Maven,io.nuun:kernel-tests,1,nuun-io,kernel,11491711,0,1513,7,5,300,22,874,74,111,702,0,3,1
172,astuetz/PagerSlidingTabStrip,337695,Maven,com.astuetz:pagerslidingtabstrip,2,astuetz,PagerSlidingTabStrip,3449537,0,1992,5657,6,39,73,0,0,0,0,0,0,4
195,ehcache/sizeof,338013,Maven,org.ehcache:sizeof,1,ehcache,sizeof,10894826,1,1770,44,7,29,10,7,316,56,28,0,2,1
207,sharneng/gm4java,338129,Maven,com.sharneng:gm4java,1,sharneng,gm4java,6508972,0,2004,47,4,16,8,101,0,563,22,0,110,1
7991,Alluxio/alluxio,966360,Maven,org.tachyonproject:tachyon-common,12,Alluxio,alluxio,32567918,2,2121,1779,261,8245,29,0,4,0,0,1,0,5
219,kaazing/community,338256,Maven,org.kaazing:community.license,2,kaazing,community,12359870,0,1477,4,15,200,0,0,346,0,12,0,0,3
2763,androidannotations/androidannotations,369533,Maven,com.googlecode.androidannotations:androidannotations,2,androidannotations,androidannotations,47935430,1,2469,2500,3,112,200,0,0,600,0,1,0,4
833,anotheria/distributeme,346129,Maven,net.anotheria:distributeme-core,5,anotheria,distributeme,5661623,2,1860,3,9,197,2,50,0,0,0,0,10,1
243,bytedeco/javacv,338484,Maven,org.bytedeco:javacv,5,bytedeco,javacv,9373126,2,1633,2671,31,353,884,0,0,0,1,2,2,2
244,dkpro/dkpro-core,338488,Maven,de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.api.resources-asl,1,dkpro,dkpro-core,19948759,0,1247,141,50,4624,1035,0,0,68,2,2,1,6
246,jcabi/jcabi-s3,338535,Maven,com.jcabi:jcabi-s3,1,jcabi,jcabi-s3,6216536,0,1802,23,6,231,44,0,0,62,44,1,2,5
255,pedrovgs/Renderers,338623,Maven,com.github.pedrovgs:renderers,2,pedrovgs,Renderers,8278581,0,1685,1154,8,300,15,0,0,0,0,0,0,3
259,braintree/braintree_android,338663,Maven,com.braintreepayments.api:data,1,braintree,braintree_android,10746533,1,1555,259,39,1643,199,0,0,1,0,1,2,2
8183,aol/micro-server,1084586,Maven,com.aol.microservices:micro-core,19,aol,micro-server,16770561,4,1327,886,20,847,151,18,121,40,11,0,0,2
284,ebean-orm/ebean,338931,Maven,org.avaje.ebeanorm:avaje-ebeanorm,21,ebean-orm,ebean,42727512,2,2218,385,21,1265,449,0,259,0,0,1,10,3
299,mttkay/memento,339107,Maven,com.github.mttkay.memento:memento,1,mttkay,memento,5530652,0,1838,219,1,62,7,0,0,35,0,4,1,3
5279,apache/groovy,400470,Maven,org.codehaus.groovy:groovy-test,66,apache,groovy,29167693,8,1274,2179,137,5314,0,0,0,0,3,1,3,2
317,mabe02/lanterna,339356,Maven,com.googlecode.lanterna:lanterna,2,mabe02,lanterna,21854562,0,1199,980,13,713,169,0,0,0,0,4,2,2
323,victims/victims-lib-java,339471,Maven,com.redhat.victims:victims-lib,1,victims,victims-lib-java,3474281,0,1994,3,5,224,19,0,292,0,461,0,1,2
331,mybatis/generator,339608,Maven,org.mybatis.generator:mybatis-generator-maven-plugin,1,mybatis,generator,2802308,0,2068,2710,10,354,192,0,0,210,0,0,1,2
5395,apache/reef,401777,Maven,org.apache.reef:tang-test-jarA,1,apache,reef,29149642,0,1449,53,62,687,0,98,134,20,134,17,2,8
368,johnjohndoe/TypedPreferences,340063,Maven,info.metadude.android:typed-preferences,1,johnjohndoe,TypedPreferences,8090088,0,1698,190,3,165,3,28,0,0,17,0,62,6
7118,AppFormer/uberfire,423000,Maven,org.uberfire:uberfire-commons,1,AppFormer,uberfire,62572562,0,2341,12,40,525,0,30,76,54,108,1,1,5
7729,appium/unlock_apk,887098,NPM,appium-unlock,5,appium,unlock_apk,5393039,2,1852,30,5,24,0,0,0,329,3,0,0,4
6224,arquillian/arquillian-container-jetty,412163,Maven,org.jboss.arquillian.container:arquillian-jetty-common,3,arquillian,arquillian-container-jetty,1074781,1,2756,8,12,93,2,0,2,0,17,0,14,4
408,avast/android-styled-dialogs,340430,Maven,eu.inmite.android.lib:android-styled-dialogs,5,avast,android-styled-dialogs,14874843,0,1964,1109,10,92,36,0,0,0,0,0,0,1
414,bennidi/mbassador,340524,Maven,net.engio:mbassador,7,bennidi,mbassador,1580337,2,2178,672,9,204,96,0,0,151,1,1,6,1
5069,arquillian/arquillian-daemon,397972,Maven,org.jboss.arquillian.daemon:arquillian-daemon-main,1,arquillian,arquillian-daemon,15809949,0,2178,1,3,15,0,0,0,1,0,0,0,6
422,springernature/omelet,340666,Maven,com.springer:omelet,1,springernature,omelet,31061878,0,1497,26,9,88,2,5,0,0,4,32,0,2
430,doanduyhai/Achilles,340753,Maven,info.archinnov:achilles-model,1,doanduyhai,Achilles,2198141,0,2153,215,9,1526,278,0,52,122,0,0,1,3
433,wildfly/jboss-ejb-client,340801,Maven,org.jboss:jboss-ejb-client,3,wildfly,jboss-ejb-client,67670223,1,2591,0,7,140,0,56,0,56,2,1,2,2
4146,arquillian/arquillian-droidium,386191,Maven,org.arquillian.container:arquillian-droidium-container-spi,4,arquillian,arquillian-droidium,4122708,1,1942,12,6,329,1,239,4,238,0,0,0,7
3756,arquillian/arquillian-extension-angularjs,381492,Maven,org.jboss.arquillian.extension:arquillian-angularjs-graphene,1,arquillian,arquillian-extension-angularjs,11707505,0,1620,2,4,31,0,0,3,75,10,0,6,3
705,arquillian/arquillian-extension-rest,344306,Maven,org.jboss.arquillian.extension:arquillian-rest-client-test-app,6,arquillian,arquillian-extension-rest,598356,1,2349,30,7,37,8,228,94,236,0,3,16,7
1222,asciidoctor/asciidoctorj,351178,Maven,org.asciidoctor:asciidoctorj-pdf,2,asciidoctor,asciidoctorj,6394922,1,2032,315,19,530,246,0,42,0,1,1,1,3
490,poetix/protonpack,341572,Maven,com.codepoetics:protonpack,3,poetix,protonpack,11476942,0,1514,348,7,115,20,0,172,1,0,1,2,2
1282,auth0/Lock.Android,351933,Maven,com.auth0.android:core,2,auth0,Lock.Android,13738553,2,1408,107,7,2681,146,0,443,0,0,1,0,3
506,walkmod/walkmod-core,341810,Maven,org.walkmod:walkmod-core,6,walkmod,walkmod-core,32360035,1,1746,68,2,40,21,73,10,420,6,0,18,7
513,jcabi/jcabi-jdbc,341874,Maven,com.jcabi:jcabi-jdbc,3,jcabi,jcabi-jdbc,5326211,0,1862,79,7,205,39,12,5,39,26,1,1,78
1305,awaitility/awaitility,352202,Maven,com.jayway.awaitility:awaitility-scala,7,awaitility,awaitility,39306018,3,3183,939,6,135,36,0,0,0,0,1,169,6
525,eclipse/xtext-lib,342057,Maven,org.eclipse.xtend:org.eclipse.xtend.lib,44,eclipse,xtext-lib,38010901,3,862,9,13,275,10,16,47,129,72,0,6,3
7779,Azure/azure-sdk-for-java,960222,Maven,com.microsoft.azure:azure-mgmt-resources,20,Azure,azure-sdk-for-java,9002111,3,2502,221,55,2521,644,1,23,41,0,0,0,4
541,FoundationDB/sql-layer-adapter-jdbc,342248,Maven,com.foundationdb:fdb-sql-layer-jdbc,1,FoundationDB,sql-layer-adapter-jdbc,7407780,0,1825,2,5,73,0,153,34,197,247,0,0,7
547,jglick/sezpoz,342368,Maven,net.java.sezpoz:sezpoz,3,jglick,sezpoz,3808128,1,1968,20,1,121,5,102,0,3412,0,14,53,2
548,AbrarSyed/jastyle,342376,Maven,com.github.abrarsyed.jastyle:jAstyle,2,AbrarSyed,jastyle,3844381,0,1964,4,2,52,2,65,0,504,4,0,0,1
3236,Azure/azure-storage-java,374921,Maven,com.microsoft.azure:azure-storage,22,Azure,azure-storage-java,9047974,2,1813,139,14,192,134,5,1,98,0,0,0,5
568,tumblr/jumblr,342608,Maven,com.tumblr:jumblr,1,tumblr,jumblr,2757669,1,2059,295,12,140,50,0,0,2,0,2,0,2
570,TestFX/Monocle,342611,Maven,org.jfxtras:openjfx-monocle,1,TestFX,Monocle,13406837,1,1434,19,3,53,4,0,0,360,0,0,0,2
8270,ben-manes/caffeine,1127362,Maven,com.github.ben-manes.caffeine:caffeine,44,ben-manes,caffeine,13754421,7,1399,4378,18,2251,210,0,212,0,1,0,0,4
575,bitcoinj/bitcoinj,342699,Maven,org.bitcoinj:bitcoinj-core,6,bitcoinj,bitcoinj,6494034,0,1786,2900,98,2077,178,0,1,1,1,2,2,4
614,alexec/docker-java-orchestration,343246,Maven,com.alexecollins.docker:docker-java-orchestration-plugin-api,1,alexec,docker-java-orchestration,9558369,1,1628,20,10,654,18,0,295,0,1,1,1,2
