,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
6,brendanzab/algebra,30751,Cargo,algebra,2,brendanzab,algebra,43473096,1,1732,16,3,10,2,4,8,2,76,0,10,22
887,bluss/arrayvec,793693,Cargo,arrayvec,37,bluss,arrayvec,20222383,5,1240,98,6,282,27,0,0,0,0,0,0,4
22,Antti/rust-amqp,30771,Cargo,amqp,1,Antti,rust-amqp,11415334,0,1516,178,4,208,18,0,0,1,4,1,2,2
23,ogham/rust-ansi-term,30774,Cargo,ansi_term,120,ogham,rust-ansi-term,10565296,10,1561,156,2,121,10,0,0,712,0,8,0,1
24,chris-morgan/anymap,30775,Cargo,anymap,8,chris-morgan,anymap,10238860,2,1580,78,3,103,9,2,19,7,14,0,2,2
26,tomprogrammer/rust-ascii,30778,Cargo,ascii,8,tomprogrammer,rust-ascii,14560984,3,1412,14,10,178,12,153,439,170,0,1,2,2
32,arjantop/rust-bencode,30793,Cargo,bencode,3,arjantop,rust-bencode,8472777,0,1676,24,5,102,12,0,0,0,10,41,0,3
33,TyOverby/bincode,30795,Cargo,bincode,95,TyOverby,bincode,12924437,6,1483,429,35,482,107,0,0,0,0,0,0,4
34,rust-lang-nursery/bitflags,30798,Cargo,bitflags,369,rust-lang-nursery,bitflags,26450694,21,1363,111,13,199,58,0,0,0,0,1,1,2
37,iron/body-parser,30806,Cargo,bodyparser,15,iron,body-parser,10316944,3,1576,57,12,101,20,0,0,32,0,0,1,3
40,capnproto/capnpc-rust,30821,Cargo,capnpc,7,capnproto,capnpc-rust,68506658,1,1425,14,1,15,3,10,0,231,0,0,1,2
41,capnproto/capnp-rpc-rust,30822,Cargo,capnp-rpc,1,capnproto,capnp-rpc-rust,68506681,0,1499,30,1,12,3,0,4,231,194,15,1,5
44,emk/cesu8-rs,30828,Cargo,cesu8,2,emk,cesu8-rs,14037633,0,1402,3,2,38,0,0,0,354,92,0,24,4
45,huonw/cfor,30830,Cargo,cfor,2,huonw,cfor,11239934,0,1524,5,3,79,2,0,0,197,0,0,2,2
47,brendanzab/cgmath,30832,Cargo,cgmath,60,brendanzab,cgmath,42123524,6,1870,293,4,90,21,0,1,0,0,1,0,3
50,chronotope/chrono,30838,Cargo,chrono,451,chronotope,chrono,56345386,13,1656,360,4,103,55,0,0,268,0,6,0,4
55,Gankro/collect-rs,30848,Cargo,collect,4,Gankro,collect-rs,13419486,2,1442,72,18,426,47,2,32,6,3,0,0,5
58,contain-rs/compare,30853,Cargo,compare,6,contain-rs,compare,17137841,2,1313,9,6,38,8,16,0,19,0,1,1,2
60,alexcrichton/rust-compress,30855,Cargo,compress,3,alexcrichton,rust-compress,6038440,1,1812,85,6,240,5,0,443,32,0,0,0,4
61,conduit-rust/conduit,30857,Cargo,conduit,13,conduit-rust,conduit,10516095,3,1567,128,8,350,0,1,0,53,0,0,5,7
62,conduit-rust/conduit-json-parser,30859,Cargo,conduit-json-parser,1,conduit-rust,conduit-json-parser,10555236,0,1562,3,6,309,0,0,0,26,0,0,5,3
63,conduit-rust/conduit-cookie,30860,Cargo,conduit-cookie,1,conduit-rust,conduit-cookie,10565506,0,1562,0,4,986,0,0,1,482,26,0,0,4
71,alexcrichton/cookie-rs,30871,Cargo,cookie,30,alexcrichton,cookie-rs,10545212,3,1562,61,11,1068,33,0,4,0,0,0,0,4
